"","text","created","isRetweet","longitude","latitude"
"1","Hillary Clinton will appear Monday on Fox News for the first time since 2014 https://t.co/P3Y086CNft","2016-03-05 05:20:09",FALSE,-118.24533538,34.05161048
"2","#Damn #Canadian. #Gop sucks. #Vote #HILLARY CLINTON 2016 or #Die like a #dog in the #Street. @‚Ä¶ https://t.co/awXc0mCxBj","2016-03-05 04:53:18",FALSE,-84.34198804,33.57846784
"3","Rosanna trying out Brown #Hillary Clinton. @ Toronto, Ontario https://t.co/QNfdvQkP8Q","2016-03-05 03:02:09",FALSE,-79.3407,43.7166
"4",".@HillaryClinton Joins @BernieSanders For @FoxNews Town Hall With Bret Baier In Detroit https://t.co/pH1voyj4uJ","2016-03-05 02:00:03",FALSE,-118.495482,34.014546
"5","Hillary Clinton Just Retweeted Bernie Sanders, And Everyone Needs To See It (TWEET) https://t.co/rOOQMBwMAK","2016-03-05 01:17:22",FALSE,-77.0062908,38.8802533
"6","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-05 00:50:17",TRUE,NA,NA
"7","Hillary Clinton owns the most retweeted GOPDebate tweet - https://t.co/AELfrS4rGE","2016-03-05 00:24:35",FALSE,-122.33247834,47.6054773
"8","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-05 00:14:15",TRUE,NA,NA
"9","RT @dadiniowa: From #Whitewater to #Benghazi: A #Clinton #Scandal #History.

https://t.co/NIlx01qHnp

#HRC
#HillaryClinton
#Hillary
#FBI
#I‚Ä¶","2016-03-05 00:03:36",TRUE,NA,NA
"10","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 23:43:24",TRUE,NA,NA
"11","From #Whitewater to #Benghazi: A #Clinton #Scandal #History.

https://t.co/NIlx01qHnp

#HRC
#HillaryClinton
#Hillary
#FBI
#Investigation","2016-03-04 23:37:41",FALSE,-92.3572258,42.4819682
"12","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 23:16:21",TRUE,NA,NA
"13","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 23:15:48",TRUE,NA,NA
"14","Hillary Clinton endorses $13.50 minimum wage, paid sick leave in Washington https://t.co/0pNpfrMOzT","2016-03-04 22:25:09",FALSE,-122.33247834,47.6054773
"15","Hillary Clinton, eat your heart out! #BernieSanders @ Southern Illinois University Edwardsville https://t.co/lszTMg66u0","2016-03-04 22:03:23",FALSE,-89.99766755,38.79201805
"16","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 21:08:10",TRUE,NA,NA
"17","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 20:47:50",TRUE,NA,NA
"18","Ì†ºÌ∑∫Ì†ºÌ∑∏ If anyone should be blocked and stopped‚ÄºÔ∏èit's hillary clinton ‚ÄºÔ∏è she will ruin this country Ì†ºÌ∑∫Ì†ºÌ∑∏‚úåÔ∏è, she needs to be stopped NOW‚ÄºÔ∏è
Ì†ΩÌπè‚úåÔ∏èÌ†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌºé","2016-03-04 20:42:08",FALSE,-120.47476958,39.8002981
"19","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 20:41:28",TRUE,NA,NA
"20","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 20:27:38",TRUE,NA,NA
"21","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 20:21:05",TRUE,NA,NA
"22","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 20:17:36",TRUE,NA,NA
"23","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 20:17:10",TRUE,NA,NA
"24","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 20:13:33",TRUE,NA,NA
"25","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 20:12:56",TRUE,NA,NA
"26","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 20:12:15",TRUE,NA,NA
"27","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 20:12:09",TRUE,NA,NA
"28","RT @Philip_Elliott: SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm‚Ä¶","2016-03-04 20:11:31",TRUE,NA,NA
"29","SEIU and AFT rolling strong at Hillary Clinton's speech here in Detroit. @ Detroit Manufacturing‚Ä¶ https://t.co/bBAe25Xm9M","2016-03-04 20:11:04",FALSE,-83.22416502,42.38231613
"30","Hillary Clinton speaks at the largest woman-owned business in Michigan. @ Detroit Manufacturing‚Ä¶ https://t.co/RKsUIKqb8V","2016-03-04 19:59:24",FALSE,-83.22416502,42.38231613
"31","""@WSJHillaryproposestaxhit4notdoing local
https://t.co/WANdJfLKQD https://t.co/rvgBVFn4m9@UnderArmourstatonthelocal soon pls?tx! loveu mb","2016-03-04 19:15:02",FALSE,-76.6413776,39.3328374
"32","It's shocking Hillary Clinton is allowed to run for president when she is under investigation. It continues more cover ups being revealed.","2016-03-04 19:06:39",FALSE,-82.95198276,42.52989073
"33","RT @pbump: For all of the attention it has garnered, Democrats don't care about Clinton's email server. https://t.co/jlDwNh3MnW","2016-03-04 18:50:53",TRUE,NA,NA
"34","RT @pbump: For all of the attention it has garnered, Democrats don't care about Clinton's email server. https://t.co/jlDwNh3MnW","2016-03-04 16:27:42",TRUE,NA,NA
"35","RT @pbump: For all of the attention it has garnered, Democrats don't care about Clinton's email server. https://t.co/jlDwNh3MnW","2016-03-04 16:24:25",TRUE,NA,NA
"36","Former Secretary of State Hillary Clinton rally is being set up around auto parts workers along‚Ä¶ https://t.co/FTyyAzJPAH","2016-03-04 16:23:09",FALSE,-83.22416502,42.38231613
"37","Former Secretary of State Hillary Clinton rally is being set up around auto parts workers along‚Ä¶ https://t.co/IaBTBtFgue","2016-03-04 16:22:49",FALSE,-83.22416502,42.38231613
"38","RT @pbump: For all of the attention it has garnered, Democrats don't care about Clinton's email server. https://t.co/jlDwNh3MnW","2016-03-04 16:21:07",TRUE,NA,NA
"39","RT @pbump: For all of the attention it has garnered, Democrats don't care about Clinton's email server. https://t.co/jlDwNh3MnW","2016-03-04 16:14:38",TRUE,NA,NA
"40","@BuzzAdamsShow not putting words in your mouth. Your saying he's no longer a member so his endorsement on Hillary Clinton is OK","2016-03-04 15:58:05",FALSE,-106.36330342,31.83783784
"41","Russell Simmons says he supports Hillary Clinton?????? are you kidding me????? you dude have‚Ä¶ https://t.co/sVAlGhAAxH","2016-03-04 15:56:23",FALSE,-104.61190582,38.29991418
"42","RT @pbump: For all of the attention it has garnered, Democrats don't care about Clinton's email server. https://t.co/jlDwNh3MnW","2016-03-04 15:34:32",TRUE,NA,NA
"43","RT @pbump: For all of the attention it has garnered, Democrats don't care about Clinton's email server. https://t.co/jlDwNh3MnW","2016-03-04 15:29:58",TRUE,NA,NA
"44","For all of the attention it has garnered, Democrats don't care about Clinton's email server. https://t.co/KIy5ltgKmn","2016-03-04 15:27:49",FALSE,-73.971836,40.798598
"45","For all of the attention it has garnered, Democrats don't care about Clinton's email server. https://t.co/jlDwNh3MnW","2016-03-04 15:27:47",FALSE,-73.971836,40.798598
"46","We need 2 remember that we must defeat Hillary Clinton as she will be the 3rd term of Obama who has been a disaster. Supreme court at stake.","2016-03-04 14:41:12",FALSE,-86.45531,35.81811
"47","MorningSpin: Hillary Clinton picks up another Illinois superdelegate https://t.co/lEqTUmWZaG","2016-03-04 13:23:37",FALSE,-87.62626724,41.88804564
"48","@FBI  FBI owes it to Hillary Clinton to make it clear whether she is under FBI investigation and for what crime. Make a public statement!","2016-03-04 12:25:45",FALSE,-89.5689652,37.3164574
"49","The Miami Herald Editorial board recommends Hillary Clinton for the Democratic primary https://t.co/4UUlYpvxhL","2016-03-04 12:12:04",FALSE,-80.19240081,25.78111669
"50","A single vote separated Bernie Sanders and Hillary Clinton in Methuen https://t.co/T8xxJUZiiI","2016-03-04 11:42:07",FALSE,-71.0552516,42.3561185
"51","RT @sigmapoet1914: Don't vote for Hillary just because you liked her husband Bill Clinton as President. Two separate people folks.","2016-03-04 08:06:22",TRUE,NA,NA
"52","#Decision2016 #HillaryforPresident #Hillary #Clinton #HillaryClinton #JustSayNoTrump‚Ä¶ https://t.co/tdqCHW8RFk","2016-03-04 04:55:29",FALSE,-98.4617,34.8986
