"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","No president will be able to address the problems that we face unless there is a mass movement, a political revolution in this country.",FALSE,646,NA,2016-03-11 00:21:07,FALSE,NA,"708085307984338944",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",277,FALSE,FALSE,NA,NA
"2","It's unacceptable to ask working-class Americans to work until they are 68-70 years old before qualifying for full Social Security benefits.",FALSE,2715,NA,2016-03-10 22:22:06,FALSE,NA,"708055357566820353",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1144,FALSE,FALSE,NA,NA
"3","Real change takes place when people stand up and say “enough is enough,” and when we create a political revolution from the ground up.",FALSE,2627,NA,2016-03-10 20:58:05,FALSE,NA,"708034211035262977",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1282,FALSE,FALSE,NA,NA
"4","The message we are sending to the billionaire class is you cannot continue to get huge tax breaks while children in America go hungry.",FALSE,3364,NA,2016-03-10 19:41:04,FALSE,NA,"708014830964183040",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1532,FALSE,FALSE,NA,NA
"5","PolitiFact: Hillary Clinton wrongly says Bernie Sanders wants to delay the Clean Power Plan https://t.co/w04bNZaLRW",FALSE,1934,NA,2016-03-10 18:36:47,FALSE,NA,"707998651394695169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BernieSanders",1133,FALSE,FALSE,NA,NA
"6","I hope one day Republicans can overcome the needs of their campaign contributors and worry instead about the planet they're leaving behind.",FALSE,5773,NA,2016-03-10 18:23:06,FALSE,NA,"707995210781822976",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",2482,FALSE,FALSE,NA,NA
"7","This campaign is not a billionaire-funded campaign. It is a people’s campaign.",FALSE,4664,NA,2016-03-10 14:46:06,FALSE,NA,"707940598578171904",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1647,FALSE,FALSE,NA,NA
"8","We have got to tell corporate America they cannot continue to abandon workers in the U.S. We've lost 60,000 factories since 2001.",FALSE,3218,NA,2016-03-10 13:54:01,FALSE,NA,"707927493924139009",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1292,FALSE,FALSE,NA,NA
"9","This is why I am running for President of the United States of America. #DebateWithBernie
https://t.co/7oH2ouerx5",FALSE,14597,NA,2016-03-10 05:02:12,FALSE,NA,"707793658267836416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",9673,FALSE,FALSE,NA,NA
"10","Bernie votó contra la guerra de Irak y cambiar el régimen en Libia porque temía lo que sucedería después. Desafortunadamente, él tuvo razón.",FALSE,1575,"BernieSanders",2016-03-10 03:29:10,FALSE,"707767313043496962","707770244887142401","216776631","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",684,FALSE,FALSE,NA,NA
"11","Sec. Clinton is arguing that the U.S. should continue to be the only major country that doesn't guarantee health care to all people.",FALSE,3201,"BernieSanders",2016-03-10 03:27:35,FALSE,"707769717998686208","707769843462873088","216776631","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",1614,FALSE,FALSE,NA,NA
"12","Only one candidate has a plan to get to universal health care coverage. How would @HillaryClinton get there? #UnivisionDebate",FALSE,2936,NA,2016-03-10 03:27:05,FALSE,NA,"707769717998686208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",1036,FALSE,FALSE,NA,NA
"13","Why does @HillaryClinton think it's okay for Trump's kids to go to elementary, middle, and high schools for free, but not colleges?",FALSE,4692,NA,2016-03-10 03:21:45,FALSE,NA,"707768379290087424",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1686,FALSE,FALSE,NA,NA
"14","Bernie voted against the Iraq War and regime change in Libya because he feared what would happen the day after. Unfortunately, he was right.",FALSE,5410,NA,2016-03-10 03:17:31,FALSE,NA,"707767313043496962",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",2343,FALSE,FALSE,NA,NA
"15","Necesitamos una economía que funcione para todos, no sólo para un puñado de multimillonarios. #UnivisionDebate
https://t.co/uanLmkToyX",FALSE,2139,NA,2016-03-10 03:08:31,FALSE,NA,"707765046680485889",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",1108,FALSE,FALSE,NA,NA
"16","El director de Goldman Sachs no me dio $250,000; al contrario, dijo que soy un peligro. Y tiene razón — soy un peligro para Wall Street.",FALSE,1641,"BernieSanders",2016-03-10 03:04:50,FALSE,"707763968211861504","707764121123557377","216776631","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",775,FALSE,FALSE,NA,NA
"17","The head of Goldman Sachs didn’t give Bernie $225,000 for a speech. He said Bernie would be dangerous for Wall Street. And he’s right.",FALSE,6010,NA,2016-03-10 03:04:14,FALSE,NA,"707763968211861504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",2791,FALSE,FALSE,NA,NA
"18","There is nobody in the United States Congress who has taken on the Koch Brothers more than Bernie Sanders. #UnivisionDebate",FALSE,3613,NA,2016-03-10 03:00:38,FALSE,NA,"707763063789854720",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1458,FALSE,FALSE,NA,NA
"19","Video from that Clinton speech telling Wall St to ""cut it out"" shows her greeting ""wonderful donors"" in the room. https://t.co/314TkAqqLJ",FALSE,2236,NA,2016-03-10 02:59:07,FALSE,NA,"707762680954818565",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1404,FALSE,FALSE,NA,NA
"20","Let's stop the racism. Let's stop the xenophobia. Let's stop Trump. #DemDebate",FALSE,11681,NA,2016-03-10 02:52:03,FALSE,NA,"707760904872439812",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",6837,FALSE,FALSE,NA,NA
"21","Bernie’s immigration plan is the gold standard. ""We hope [Hillary] is inspired to match his boldness.” -@nytimes https://t.co/LwZPIpIJeG",FALSE,2881,NA,2016-03-10 02:50:11,FALSE,NA,"707760433743142912",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1600,FALSE,FALSE,NA,NA
"22","""The banks of NY and our other financial institutions are probably the biggest winners."" - @HillaryClinton on the ""auto"" bailout in 2008.",FALSE,1917,NA,2016-03-10 02:46:40,FALSE,NA,"707759546564005888",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",991,FALSE,FALSE,NA,NA
"23",".@HillaryClinton doubles down on ""negative tactics"" and dishonesty described earlier by The New York Times: https://t.co/dfOag8mP01",FALSE,2056,NA,2016-03-10 02:43:58,FALSE,NA,"707758867468460032",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1260,FALSE,FALSE,NA,NA
"24","No deportaré a niños que viven en Estados Unidos de América. Eso lo puedo prometer. #DemDebate",FALSE,2257,"BernieSanders",2016-03-10 02:42:03,FALSE,"707757623010004992","707758384603373568","216776631","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1381,FALSE,FALSE,NA,NA
"25","“We have laws.” - @HillaryClinton #DemDebate https://t.co/OyheqgUGzw",FALSE,2280,"BernieSanders",2016-03-10 02:39:42,FALSE,"707756479743401984","707757793458130945","216776631","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",2078,FALSE,FALSE,NA,NA
"26","I will not deport children from the United States of America. I can make that promise.  #DemDebate",FALSE,7494,NA,2016-03-10 02:39:01,FALSE,NA,"707757623010004992",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",3679,FALSE,FALSE,NA,NA
"27","""Clinton acknowledged that, in some cases, a child’s deportation could bring them great harm."" https://t.co/xAuAhf4PYo #DemDebate",FALSE,1266,"BernieSanders",2016-03-10 02:34:28,FALSE,"707754968367964160","707756479743401984","216776631","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",679,FALSE,FALSE,NA,NA
"28","“Como presidenta, yo me opondré a darle licencias de conducir a personas indocumentadas…” — @HillaryClinton en 2007. #DemDebate",FALSE,1101,"BernieSanders",2016-03-10 02:32:19,FALSE,"707754968367964160","707755936589467649","216776631","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",649,FALSE,FALSE,NA,NA
"29","""As president, I will not support driver’s licenses for undocumented people..."" - @HillaryClinton in 2007",FALSE,2628,"BernieSanders",2016-03-10 02:28:28,FALSE,"707753267082764288","707754968367964160","216776631","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1642,FALSE,FALSE,NA,NA
"30","Bernie’s guiding light on the issue of immigration reform: keeping families together, not dividing them up.
https://t.co/ExVZjpyDna",FALSE,2893,NA,2016-03-10 02:27:27,FALSE,NA,"707754712829861888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",1668,FALSE,FALSE,NA,NA
"31","""I am, you know, adamantly against illegal immigration.” - @HillaryClinton.
https://t.co/XyBZfjGyqP",FALSE,2700,NA,2016-03-10 02:21:42,FALSE,NA,"707753267082764288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1686,FALSE,FALSE,NA,NA
"32","Cuando iniciamos estábamos 50 puntos detrás de la “nominada demócrata inevitable”. Ahora esa candidata no se ve tan inevitable. #DemDebate",FALSE,1250,"BernieSanders",2016-03-10 02:18:36,FALSE,"707751851899412482","707752486640209920","216776631","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",677,FALSE,FALSE,NA,NA
"33","When we began we were 50 points behind the “inevitable Democratic nominee.” Now that inevitable candidate ain't so inevitable. #DemDebate",FALSE,5120,NA,2016-03-10 02:16:05,FALSE,NA,"707751851899412482",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",2226,FALSE,FALSE,NA,NA
"34","Bernie is about to walk on stage for the #DemDebate in Miami. Tune in live here https://t.co/IVyHjFZvyP and #DebateWithBernie.",FALSE,1110,"BernieSanders",2016-03-10 02:02:39,FALSE,"707748319896997890","707748472557051905","216776631","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",594,FALSE,FALSE,NA,NA
"35","Bernie está a punto de subir al escenario del #DemDebate en Miami. Míralo en https://t.co/ApMLeDwN7r y participa usando #DebateWithBernie.",FALSE,929,NA,2016-03-10 02:02:03,FALSE,NA,"707748319896997890",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",587,FALSE,FALSE,NA,NA
"36","I stand with Chicago teachers. We shouldn't close schools and lay off teachers to reward Wall Street. https://t.co/4EH0myWyzw",FALSE,2830,NA,2016-03-10 01:20:39,FALSE,NA,"707737900176248832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",1387,FALSE,FALSE,NA,NA
"37","The pharmaceutical industry has become a health hazard for the American people. We pay the highest prices for prescription drugs.",FALSE,3637,NA,2016-03-09 23:54:02,FALSE,NA,"707716105758855168",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1511,FALSE,FALSE,NA,NA
"38","Some people say young people are apathetic. It seems to me like they are ready to transform America.",FALSE,9722,NA,2016-03-09 22:11:01,FALSE,NA,"707690178177990656",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",5470,FALSE,FALSE,NA,NA
"39","I hope Utah repeals the death penalty. There's enough violence in the world and the  government shouldn't add to it. https://t.co/WzzdLIFgJZ",FALSE,3265,NA,2016-03-09 21:09:07,FALSE,NA,"707674601409609728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",1171,FALSE,FALSE,NA,NA
"40","Multinational corporations making billions, moving jobs overseas, are asking for handouts from our middle class? I don't think so.",FALSE,3179,NA,2016-03-09 20:53:03,FALSE,NA,"707670558394060800",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1371,FALSE,FALSE,NA,NA
"41","The wealthiest country in history has gotta get its priorities right. That's taking care of its people. Not more tax breaks for the rich.",FALSE,4419,NA,2016-03-09 19:21:06,FALSE,NA,"707647417705848832",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1768,FALSE,FALSE,NA,NA
"42",".@FLGovScott, veto this bill. Don’t play politics with abortion.  https://t.co/ufhPOuj8DI",FALSE,2621,NA,2016-03-09 17:27:43,FALSE,NA,"707618882513739776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BernieSanders",1254,FALSE,FALSE,NA,NA
"43","Since I have been an elected official, I have used my influence to stand with those who have no power, and to take on the ruling class.",FALSE,5186,NA,2016-03-09 16:52:04,FALSE,NA,"707609910389792768",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1783,FALSE,FALSE,NA,NA
"44","What kind of morality is it when Congress gives tax breaks to billionaires but cuts nutrition programs that serve kids?",FALSE,8631,NA,2016-03-09 15:48:06,FALSE,NA,"707593815813541889",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",4409,FALSE,FALSE,NA,NA
"45","At the end of the day big money doesn’t always win. What we are showing is that millions of people agree with us.",FALSE,4743,NA,2016-03-09 14:56:36,FALSE,NA,"707580852549623809",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1820,FALSE,FALSE,NA,NA
"46","Greed is the religion of the billionaire class. A nation based on that kind of greed will not survive morally, economically or politically.",FALSE,8460,NA,2016-03-09 14:04:06,FALSE,NA,"707567641863462912",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",4601,FALSE,FALSE,NA,NA
"47","The corporate media counted us out. The pollsters said we were way behind. But we won. Thank you, Michigan. https://t.co/Iywg9N3B1z",FALSE,38351,NA,2016-03-09 04:43:18,FALSE,NA,"707426513163919360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",22441,FALSE,FALSE,NA,NA
"48","While millions of Americans are just one paycheck away from economic devastation, the wealthy have never had it so good.",FALSE,5602,NA,2016-03-09 02:37:03,FALSE,NA,"707394738538749952",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",2356,FALSE,FALSE,NA,NA
"49","Michigan: if you’re in line to vote, you have a right to vote. Stay in line and make your voice heard.",FALSE,8839,NA,2016-03-09 01:21:29,FALSE,NA,"707375722634088449",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",3150,FALSE,FALSE,NA,NA
"50","There is no reason why women should be paid significantly less than men. It’s sexism and it has got to end. https://t.co/L5BOkmpbrB",FALSE,9682,NA,2016-03-09 01:08:17,FALSE,NA,"707372399675764736",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",4685,FALSE,FALSE,NA,NA
"51","Love always trumps hate. https://t.co/B8R8nyCNNx",FALSE,14975,NA,2016-03-09 00:58:17,FALSE,NA,"707369884058050560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",7603,FALSE,FALSE,NA,NA
"52","This is what we can learn from history: when people stand together, there is nothing we cannot accomplish. https://t.co/VmMgZG6sw6",FALSE,8970,NA,2016-03-09 00:54:43,FALSE,NA,"707368986195992576",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",3714,FALSE,FALSE,NA,NA
"53","Watch Bernie in Miami live right now: https://t.co/Qi36R9CY6M",FALSE,1401,NA,2016-03-09 00:30:12,FALSE,NA,"707362817486225408",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",499,FALSE,FALSE,NA,NA
"54","Standing up for our LGBTQ sisters and brothers is the duty of all elected officials. This should make us all proud. https://t.co/r4Rw5xInA8",FALSE,4727,NA,2016-03-09 00:15:24,FALSE,NA,"707359091002380289",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",1945,FALSE,FALSE,NA,NA
"55","African-American women earn just 60 cents for every dollar a white male earns. The figure for Latina women is just 55 cents. #IWD2016",FALSE,4716,"BernieSanders",2016-03-08 23:57:25,FALSE,"707319259328749569","707354567449702400","216776631","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",3431,FALSE,FALSE,NA,NA
"56","Michigan and Mississippi — not sure where to vote? That's OK! Look up your polling location at https://t.co/ZaoGzRK1GS.",FALSE,1581,NA,2016-03-08 22:37:06,FALSE,NA,"707334355371188225",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",874,FALSE,FALSE,NA,NA
"57","We must ensure pay equity for women workers. Equal pay for equal work — it's not a radical idea. #InternationalWomensDay",FALSE,8159,NA,2016-03-08 21:37:07,FALSE,NA,"707319259328749569",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",5148,FALSE,FALSE,NA,NA
"58","Voting for Bernie in Michigan or Mississippi? Use #iVoted and share this image! https://t.co/idCH9q6VOQ",FALSE,2951,NA,2016-03-08 21:02:02,FALSE,NA,"707310431967137792",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1223,FALSE,FALSE,NA,NA
"59","We must end the international embarrassment of being the only major country that doesn't guarantee paid leave.  #InternationalWomensDay",FALSE,6902,NA,2016-03-08 20:27:01,FALSE,NA,"707301618245500930",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",3554,FALSE,FALSE,NA,NA
