"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I am so humbled by the 56 percent support in the News 13/Bay News 9 survey of Florida voters who still believe in me. God bless &amp; thank you.",FALSE,5032,NA,2016-03-08 16:02:59,FALSE,NA,"707235170441678850",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RealBenCarson",675,FALSE,FALSE,NA,NA
"2","https://t.co/mYfP53M7x6",FALSE,3166,NA,2016-03-05 04:01:05,FALSE,NA,"705966334731923457",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RealBenCarson",977,FALSE,FALSE,NA,NA
"3","Read my statement on the 2016 election and my future role in the fight to restore power to We the People: https://t.co/0KnVUqhyJD",FALSE,2133,NA,2016-03-05 02:59:12,FALSE,NA,"705950763558834176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealBenCarson",743,FALSE,FALSE,NA,NA
"4","I will soon be taking the stage at #CPAC to address the issues facing our nation. Click here to watch LIVE: https://t.co/gNpiLwkldB",FALSE,995,NA,2016-03-04 21:27:31,FALSE,NA,"705867293369065472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealBenCarson",197,FALSE,FALSE,NA,NA
"5","Looking forward to speaking at #CPAC this afternoon and having the opportunity to address the important issues facing our nation.",FALSE,1803,NA,2016-03-04 19:45:07,FALSE,NA,"705841523850506240",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RealBenCarson",319,FALSE,FALSE,NA,NA
"6","Read my statement on this Thursday night's #GOPDebate. Click here: https://t.co/sdaoZQ303N",FALSE,1646,NA,2016-03-02 19:21:38,FALSE,NA,"705110834863800321",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealBenCarson",1059,FALSE,FALSE,NA,NA
"7","Obamacare has upended the patient-doctor relationship, restricting our options &amp; access to doctors and specialists. https://t.co/8f0cgaMkSC",FALSE,1607,NA,2016-03-02 18:31:10,FALSE,NA,"705098136314736640",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RealBenCarson",770,FALSE,FALSE,NA,NA
"8","From my visit to Bellevue Baptist Church. It is my hope that faith will continue to be a part of our nation.
https://t.co/nWWL9lCbLS",FALSE,2707,NA,2016-03-02 16:41:48,FALSE,NA,"705070613572915205",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealBenCarson",866,FALSE,FALSE,NA,NA
"9","Incredibly grateful to all of our staff and volunteers that worked incredibly hard in #SuperTuesday states across the country.",FALSE,3276,NA,2016-03-02 02:32:06,FALSE,NA,"704856778597539840",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RealBenCarson",460,FALSE,FALSE,NA,NA
"10","We are a country that is divided and America needs a leader that can bring people together and begin the process of healing our nation.",FALSE,3668,NA,2016-03-02 00:25:07,FALSE,NA,"704824823134842880",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RealBenCarson",1211,FALSE,FALSE,NA,NA
"11","Still time to vote in today's #SuperTuesday states. If you honor me with your support, I will work tirelessly to heal our nation.",FALSE,1857,NA,2016-03-01 22:36:05,FALSE,NA,"704797382156746752",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RealBenCarson",474,FALSE,FALSE,NA,NA
"12","We the People deserve leaders that are beholden to the Constitution &amp; the American people alone. Not the political elite &amp; special interests",FALSE,3091,NA,2016-03-01 20:25:10,FALSE,NA,"704764436846870528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealBenCarson",1136,FALSE,FALSE,NA,NA
"13","Thank you Nevada! #BC2DC16 https://t.co/DJgViSPxHu",FALSE,1000,NA,2016-03-01 18:11:34,FALSE,NA,"704730816895696896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealBenCarson",221,FALSE,FALSE,NA,NA
