"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Wow, you are all correct about @FoxNews - totally biased and disgusting reporting.",FALSE,9243,NA,2016-03-10 21:41:18,FALSE,NA,"708045086135881728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",3367,FALSE,FALSE,NA,NA
"2","Another Dishonest Politician 
#LightweightSenatorMarcoRubio https://t.co/w7G5vJ511O",FALSE,9748,NA,2016-03-09 23:00:30,FALSE,NA,"707702633260261377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",4195,FALSE,FALSE,NA,NA
"3","Keep lightweight Marco and his friends out of the White House. 
#MakeAmericaGreatAgain #Trump2016 https://t.co/hNkkRx66Hc",FALSE,12119,NA,2016-03-09 22:39:30,FALSE,NA,"707697346646245376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",4702,FALSE,FALSE,NA,NA
"4","Phony Club For Growth tried to shake me down for one million dollars, &amp; is now putting out nasty negative ads on me. They are total losers!",FALSE,11987,NA,2016-03-09 21:46:12,FALSE,NA,"707683931609550848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",4132,FALSE,FALSE,NA,NA
"5","Thank you Hawaii! #Trump2016",FALSE,19645,NA,2016-03-09 07:36:16,FALSE,NA,"707470040954761216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",5676,FALSE,FALSE,NA,NA
"6","This was a great evening- I would like to thank everyone for their wonderful support.",FALSE,22864,NA,2016-03-09 03:58:28,FALSE,NA,"707415229794275330",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",5901,FALSE,FALSE,NA,NA
"7","Thank you Michigan! #Trump2016",FALSE,20720,NA,2016-03-09 02:02:25,FALSE,NA,"707386022569623552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",7486,FALSE,FALSE,NA,NA
"8","Thank you Mississippi! #Trump2016",FALSE,18602,NA,2016-03-09 01:28:43,FALSE,NA,"707377544224509952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",6237,FALSE,FALSE,NA,NA
"9","Thank you! #Trump2016 https://t.co/WvTkL8mMHY",FALSE,10860,NA,2016-03-09 01:14:50,FALSE,NA,"707374051581362176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",3531,FALSE,FALSE,NA,NA
"10","Thank you America! #Trump2016
https://t.co/jOD54EGGmG",FALSE,12014,NA,2016-03-09 01:12:46,FALSE,NA,"707373529818386434",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",4198,FALSE,FALSE,NA,NA
