"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#TBT to my closing statement from the last #GOPDebate https://t.co/oILUCx2wPx

Tune in to CNN at 8:30 pm ET tonight: https://t.co/nICXayCSI4",FALSE,32,NA,2016-03-11 00:24:04,FALSE,NA,"708086051550552064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",24,FALSE,FALSE,NA,NA
"2","Tune in to @CNN at 8:30 pm ET, for the final #GOPDebate before FL, IL, NC, MO, and OH head to the polls on Tuesday: https://t.co/kPJD2qbNDc",FALSE,371,NA,2016-03-10 22:46:35,FALSE,NA,"708061517208367104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",238,FALSE,FALSE,NA,NA
"3","""Don’t settle for slogans that can fit on a bumper sticker. It’s time to elect Ted Cruz."" https://t.co/ydGvUxTGFw
https://t.co/PQsL4vhrmm",FALSE,1103,NA,2016-03-10 21:05:51,FALSE,NA,"708036166134603776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",738,FALSE,FALSE,NA,NA
"4","Humbled to earn @MikeLeeforUtah's endorsement: https://t.co/oM9VghBPn6 Join the #CruzCrew: https://t.co/ydGvUxTGFw https://t.co/iQLFo29gpv",FALSE,1520,NA,2016-03-10 20:16:16,FALSE,NA,"708023688491184128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",965,FALSE,FALSE,NA,NA
"5",".@marklevinshow: Cruz ""knows how to run and he knows how to speak, and I believe with your help he knows how to win"" https://t.co/NRgxWgYVFE",FALSE,811,NA,2016-03-10 18:27:42,FALSE,NA,"707996365805084672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",475,FALSE,FALSE,NA,NA
"6",".@CarlyFiorina in Coral Gables, FL: The Republican party needs to unify behind @TedCruz: https://t.co/HG67aNeyfs https://t.co/x1FQ4E7hP7",FALSE,822,NA,2016-03-10 15:08:30,FALSE,NA,"707946237585002496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",497,FALSE,FALSE,NA,NA
"7","Conservatives are uniting. Tonight, @marklevinshow announced his endorsement of our campaign on @LevinTV. Watch: https://t.co/t3bu3PnXXu",FALSE,2091,NA,2016-03-10 02:16:40,FALSE,NA,"707751997605154817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tedcruz",1383,FALSE,FALSE,NA,NA
"8","WATCH: @benfergusonshow on why he's endorsing our campaign.
Join the #CruzCrew: https://t.co/XKeU2HUmCY https://t.co/192AQ3ZK2z",FALSE,608,NA,2016-03-10 00:52:14,FALSE,NA,"707730748812320768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",482,FALSE,FALSE,NA,NA
"9","Tune in to @FoxNews tonight at 9pm ET, #CruzCrew! https://t.co/aZpYn5GF3l",FALSE,399,NA,2016-03-09 23:43:26,FALSE,NA,"707713435807551488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",236,FALSE,FALSE,NA,NA
"10","Florida, don't miss out on the chance to get your limited edition #CruzCrew stickers: https://t.co/Pa3B7BDIvw https://t.co/dnsy2h45j6",FALSE,826,NA,2016-03-09 22:34:08,FALSE,NA,"707695997149773825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",471,FALSE,FALSE,NA,NA
"11","Fighting for you... and winning.

Join the #CruzCrew: https://t.co/WGomXSg9M8
https://t.co/6cPpD87NyZ",FALSE,1032,NA,2016-03-09 21:04:21,FALSE,NA,"707673400026669057",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",682,FALSE,FALSE,NA,NA
"12","Read more --&gt; https://t.co/QuEZm3Kmum #Stand4Life #ChooseCruz https://t.co/PB6YwjTfjf",FALSE,1303,NA,2016-03-09 18:56:26,FALSE,NA,"707641208739225600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",769,FALSE,FALSE,NA,NA
"13",".@CarlyFiorina​: It's time to unite behind @TedCruz: https://t.co/HG67aNeyfs #CruzCrew #ChooseCruz
https://t.co/fubyMOIp30",FALSE,2378,NA,2016-03-09 16:28:23,FALSE,NA,"707603950229331968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",1582,FALSE,FALSE,NA,NA
"14","Honored to earn @carlyfiorina's endorsement: https://t.co/DQARLNSKMV

Join the #CruzCrew: https://t.co/d6gn8DV1xy https://t.co/IBgCuNG227",FALSE,4048,NA,2016-03-09 15:37:13,FALSE,NA,"707591076706521088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",2391,FALSE,FALSE,NA,NA
"15","WATCH LIVE: #CruzToVictory Rally in Miami, Florida at 10 am ET: https://t.co/J8h8NlAX4o #CruzCrew",FALSE,512,NA,2016-03-09 14:39:41,FALSE,NA,"707576597281316864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",289,FALSE,FALSE,NA,NA
"16","Missouri: Remember in November the Democrats who filibustered over 30 hours to fight against religious liberty. #DefendReligiousLiberty",FALSE,2017,NA,2016-03-09 07:05:05,FALSE,NA,"707462193768493057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tedcruz",1111,FALSE,FALSE,NA,NA
"17","Thank you Idaho! Help us #CruzToVictory —&gt; https://t.co/xPMWU1L9iq https://t.co/sU2IkU1tlH",FALSE,2887,NA,2016-03-09 05:16:58,FALSE,NA,"707434983015784453",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tedcruz",1337,FALSE,FALSE,NA,NA
"18","The only power strong enough to restore this nation is ""We the People"" https://t.co/CGhCalOnqJ",FALSE,1614,NA,2016-03-09 03:27:21,FALSE,NA,"707407398101626880",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","tedcruz",1013,FALSE,FALSE,NA,NA
"19","SUNDAY: Join me, @GlennBeck, and Chuck Norris: https://t.co/UVjmlfPXsg",FALSE,852,NA,2016-03-09 01:25:08,FALSE,NA,"707376639785566209",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",547,FALSE,FALSE,NA,NA
"20","https://t.co/KZLfoveS71 https://t.co/qNs65kooVy",FALSE,581,NA,2016-03-08 23:18:54,FALSE,NA,"707344872257105921",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tedcruz",337,FALSE,FALSE,NA,NA
"21","#ChooseCruz: https://t.co/BG5M3LCUBD https://t.co/E4x3feRNQA",FALSE,537,NA,2016-03-08 23:15:52,FALSE,NA,"707344108759592960",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tedcruz",350,FALSE,FALSE,NA,NA
"22","Thanks for joining us and for your vote! https://t.co/WBT8rhSD32",FALSE,639,NA,2016-03-08 21:51:59,FALSE,NA,"707323000383647744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",277,FALSE,FALSE,NA,NA
"23","No political candidate is going to make America great again. I raise my hand, and I take an oath to you, the people! https://t.co/vV4cDxkLxU",FALSE,1743,NA,2016-03-08 19:48:34,FALSE,NA,"707291941818355712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",1273,FALSE,FALSE,NA,NA
"24","Thank you! https://t.co/Dwn7k2Mzsb",FALSE,678,NA,2016-03-08 19:10:42,FALSE,NA,"707282411311108097",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tedcruz",244,FALSE,FALSE,NA,NA
"25","#CruzCrew: Join us in Miami TOMORROW: https://t.co/OuKWyq06El",FALSE,579,NA,2016-03-08 18:34:37,FALSE,NA,"707273330814922752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",457,FALSE,FALSE,NA,NA
"26","Thank you! https://t.co/rS4S0IDmUY",FALSE,854,NA,2016-03-08 18:09:57,FALSE,NA,"707267124536840192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",330,FALSE,FALSE,NA,NA
"27","Thank you, Congressman! Honored to have your friendship and support. https://t.co/58qO5z7nyi",FALSE,953,NA,2016-03-08 16:55:26,FALSE,NA,"707248372873203712",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tedcruz",491,FALSE,FALSE,NA,NA
"28","Thank you! https://t.co/ljZAwJnAkl",FALSE,777,NA,2016-03-08 15:51:06,FALSE,NA,"707232182561996800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",302,FALSE,FALSE,NA,NA
"29","In Hawaii, Idaho, Michigan, or Mississippi? I'm asking for your vote TODAY: https://t.co/ajin49kuua #ChooseCruz https://t.co/UQgiYBJJYa",FALSE,2303,NA,2016-03-08 13:23:16,FALSE,NA,"707194980062769153",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tedcruz",1545,FALSE,FALSE,NA,NA
