"","text","created","isRetweet","longitude","latitude"
"1","Breaking: Justin Bieber says he'll take over Dr. Ben Carson's campaign &amp; make it a world wide tour..something Carson can sign off on","3/5/16 2:53",FALSE,-87.2971948,32.6716527
"2","Dr. Ben Carson has suspended everything but his need for a good nap, catch him next time on the GOP Debate stage gettin' some zzz in!","3/5/16 2:37",FALSE,-87.29766838,32.67168819
"3","While this is usually fun, the idea of Ben Carsonâ€™s face projected on the sky is infinitely creepy. Jay Pharoah, Iâ€™m so, so sorry.","3/5/16 1:02",FALSE,-117.8526324,33.64380868
"4","RT @CABNewsOnline: Dr. Ben Carson formally announced his departure from the GOP race a few hours ago at #CPAC2016 https://t.co/k0w6KcRbuo","3/5/16 0:56",TRUE,NA,NA
"5","Dr. Ben Carson formally announced his departure from the GOP race a few hours ago at #CPAC2016 https://t.co/k0w6KcRbuo","3/5/16 0:56",FALSE,-77.01750797,38.78108885
"6","Dr. Ben Carson has formally dropped out of the Republican race for president https://t.co/3kSsCzDnts","3/5/16 0:30",FALSE,-74.00001602,40.71669795
"7","Ben Carson has officially ended his campaign for President. @DenverChannel https://t.co/EwLaf6rLg1","3/5/16 0:24",FALSE,-104.9945934,39.74601199
"8","#greta. Ben Carson just said Pacific instead of specific, LOL. Very funny. #FoxNewsOnTheRecord","3/5/16 0:12",FALSE,-81.95251718,41.36426397
"9","Ben Carson officially declares he is dropping out of 2016 presidential race. @FOXBaltimore https://t.co/Bj8Y0TEpM0","3/5/16 0:12",FALSE,-76.6155346,39.30190319
"10","Dr. Ben Carson reveals his next campaign: getting Christians to the polls https://t.co/ocwJ7yM1W2","3/5/16 0:05",FALSE,-96.77401775,32.79755357
"11","Ben Carson officially suspends his presidential campaign https://t.co/ixMKxyhmKs","3/5/16 0:05",FALSE,-71.0552516,42.3561185
"12","Ben Carson just suspended his presidential campaign during his CPAC speech. https://t.co/hJOSPdQ2es","3/4/16 23:56",FALSE,-97.74361687,30.26960519
"13","Former Hopkins surgeon Ben Carson officially ends campaign for GOP presidential nomination. https://t.co/mHoh8i5D5Q","3/4/16 23:56",FALSE,-76.6155346,39.30190319
"14","Ben Carson drops out of GOP presidential race - https://t.co/boS8VsytN7","3/4/16 23:50",FALSE,-122.3324783,47.6054773
"15","Dr. Dr. Ben Carson vows to stay actively involved in the grassroots of the presidential election this year CPAC2016â€_ https://t.co/ac98WjwL8Z","3/4/16 23:47",FALSE,-95.3618441,29.75523769
"16","Dr. Dr. Ben Carson announces he is withdrawing from the presidential race amidst protests from the crowd CPAC @CPAC https://t.co/ac98WjwL8Z","3/4/16 23:47",FALSE,-95.3618441,29.75523769
"17","Ben Carson drops out of 2016 presidential race https://t.co/WTXdDtZ991","3/4/16 23:47",FALSE,-117.166272,32.7143122
"18","RT @DJ_BMONEY: Ben Carson Finally dropped out.","3/4/16 23:40",TRUE,NA,NA
"19","Ben Carson drops out of GOP presidential race https://t.co/UAx9DgbyRq","3/4/16 23:40",FALSE,-80.84079342,35.22483977
"20","Ben Carson Finally dropped out.","3/4/16 23:39",FALSE,-80.20276129,26.26973084
"21","Covering Dr Ben Carson's last event as GOP candidate for president #2016 @ Gaylord Nationalâ€_ https://t.co/lrUMZmXzXY","3/4/16 23:35",FALSE,-77.01718685,38.78157399
