"","text","created","isRetweet","longitude","latitude"
"1","RT @seangallitz: Marco Rubio in Topeka, KS this morning with Sen. Pat Roberts and Gov. Sam Brownback @ Combat Air… https://t.co/374zeuHfrP","2016-03-05 03:37:31",TRUE,NA,NA
"2","RT @seangallitz: Marco Rubio in Topeka, KS this morning with Sen. Pat Roberts and Gov. Sam Brownback @ Combat Air… https://t.co/374zeuHfrP","2016-03-05 03:34:24",TRUE,NA,NA
"3","RT @seangallitz: Marco Rubio in Topeka, KS this morning with Sen. Pat Roberts and Gov. Sam Brownback @ Combat Air… https://t.co/374zeuHfrP","2016-03-05 03:19:15",TRUE,NA,NA
"4","Broward County voter challenges citizenship of Marco Rubio, Ted Cruz: NBC6 https://t.co/d1oFARIBVW","2016-03-05 02:44:07",FALSE,-80.19240081,25.78111669
"5","RT @Redistrict: Before Marco Rubio Had 99 Problems (FL's delegates), John Kasich Was One https://t.co/yBS4kZ8GcF","2016-03-05 01:03:43",TRUE,NA,NA
"6","It was my honor to meet future president, Marco Rubio, today in Topeka. #MarcoRubio2016 @ Forbes… https://t.co/sYLUsrWiQx","2016-03-05 01:01:20",FALSE,-95.6805267,38.9598122
"7","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-05 00:09:07",TRUE,NA,NA
"8","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 23:57:47",TRUE,NA,NA
"9","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 23:27:06",TRUE,NA,NA
"10","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 23:23:44",TRUE,NA,NA
"11","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 23:10:58",TRUE,NA,NA
"12","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 23:05:46",TRUE,NA,NA
"13","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:56:52",TRUE,NA,NA
"14","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:51:01",TRUE,NA,NA
"15","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:40:02",TRUE,NA,NA
"16","RT @Redistrict: Before Marco Rubio Had 99 Problems (FL's delegates), John Kasich Was One https://t.co/yBS4kZ8GcF","2016-03-04 22:33:34",TRUE,NA,NA
"17","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:27:17",TRUE,NA,NA
"18","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:25:11",TRUE,NA,NA
"19","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:21:19",TRUE,NA,NA
"20","RT @Redistrict: Before Marco Rubio Had 99 Problems (FL's delegates), John Kasich Was One https://t.co/yBS4kZ8GcF","2016-03-04 22:21:00",TRUE,NA,NA
"21","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:18:22",TRUE,NA,NA
"22","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:18:04",TRUE,NA,NA
"23","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:12:24",TRUE,NA,NA
"24","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:08:21",TRUE,NA,NA
"25","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:08:15",TRUE,NA,NA
"26","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:08:13",TRUE,NA,NA
"27","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:07:30",TRUE,NA,NA
"28","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:07:25",TRUE,NA,NA
"29","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:07:24",TRUE,NA,NA
"30","RT @Redistrict: Together, Rubio and Kasich have 139 delegates. But if they were one candidate, they'd have 203: https://t.co/yBS4kZ8GcF @Fi…","2016-03-04 22:04:37",TRUE,NA,NA
