"","text","created","isRetweet","longitude","latitude"
"1","The Bernie Sanders rally was better than I expected í _í¸‚í _í¸‚ @ Grand Valley State University https://t.co/g9qvFdt3o9","3/5/16 4:01",FALSE,-85.8888702,42.961235
"2","RT @ChrisHeuertz: Raised right here in Omaha, #BlackLivesMatter activist @SymoneDSanders is Bernie Sandersâ€_ https://t.co/pOm6rPRbtc","3/5/16 3:06",TRUE,NA,NA
"3","RT @ChrisHeuertz: Raised right here in Omaha, #BlackLivesMatter activist @SymoneDSanders is Bernie Sandersâ€_ https://t.co/pOm6rPRbtc","3/5/16 2:23",TRUE,NA,NA
"4","RT @ChrisHeuertz: Raised right here in Omaha, #BlackLivesMatter activist @SymoneDSanders is Bernie Sandersâ€_ https://t.co/pOm6rPRbtc","3/5/16 2:13",TRUE,NA,NA
"5",".@HillaryClinton Joins @BernieSanders For @FoxNews Town Hall With Bret Baier In Detroit https://t.co/pH1voyj4uJ","3/5/16 2:00",FALSE,-118.495482,34.014546
"6","RT @ChrisHeuertz: Raised right here in Omaha, #BlackLivesMatter activist @SymoneDSanders is Bernie Sandersâ€_ https://t.co/pOm6rPRbtc","3/5/16 1:29",TRUE,NA,NA
"7","RT @ChrisHeuertz: Raised right here in Omaha, #BlackLivesMatter activist @SymoneDSanders is Bernie Sandersâ€_ https://t.co/pOm6rPRbtc","3/5/16 1:27",TRUE,NA,NA
"8","Hillary Clinton Just Retweeted Bernie Sanders, And Everyone Needs To See It (TWEET) https://t.co/rOOQMBwMAK","3/5/16 1:17",FALSE,-77.0062908,38.8802533
"9","Bernie Sanders visits SIU-Edwardsville https://t.co/f7xegVZWD9","3/5/16 0:40",FALSE,-87.62626724,41.88804564
"10","Hard to hear/see in this, but covering Bernie Sanders onâ€_ https://t.co/9OjV4qjYeQ","3/5/16 0:34",FALSE,-71.0821762,42.3815498
"11","RT @duetcat: â€œ@theonlyadult: For a saint, Bernie Sanders runs such an ugly campaign.â€ù Beginning to look a lot like TRUMPLINGS! Can't watch â€_","3/5/16 0:27",TRUE,NA,NA
"12","RT @thepeoplesview: The Phony Revolutionary: Bernie Sanders' Repeated Sellouts for Political Expediency  https://t.co/aLHRTxMIbb","3/4/16 22:18",TRUE,NA,NA
"13","So glad I got the opportunity to listen to Bernie Sanders today! #Bernie2016 @ Traverse City,â€_ https://t.co/xmhCUiEXr5","3/4/16 21:52",FALSE,-85.6123,44.7601
"14","RT @hriho: #seanpenn at #rsac ""Bernie #Sanders is an exceptional man, but I'm goin' to vote for Hillaryâ€_ https://t.co/Fzg3purgck","3/4/16 21:41",TRUE,NA,NA
