"","text","created","isRetweet","longitude","latitude"
"1","George Clooney calls Donald Trump a ‘xenophobic fascist’ https://t.co/42kR8pC57x","2016-03-05 06:02:08",FALSE,-113.49975684,53.53925427
"2","Donald Trump's 1987 book ""The Art of the Deal"" has already sold more than 19,000 copies this year https://t.co/FMAgSCSeQ2","2016-03-05 05:48:33",FALSE,-74.00001602,40.71669795
"3","Why is it that those following Donald Trump don't recognize how dangerous his rhetoric at his rallies are.","2016-03-05 05:46:13",FALSE,-82.51159591,27.25403317
"4","@real Donald trump","2016-03-05 05:28:46",FALSE,-82.51158936,27.25402116
"5","The #democrats made the #Food stamps and #Medicare programs. REMEMBER #FDR. #Donald TRUMP going… https://t.co/zsIpFet2fx","2016-03-05 05:10:13",FALSE,-84.33832811,33.57793388
"6","Hope you heard John Rich's Donald Trump impression on the show tonight. If you missed it I'll… https://t.co/azZ8x4GlXM","2016-03-05 04:28:23",FALSE,-82.1472985,28.01581633
"7","In 2016 Donald Trump's 1987 book ""The Art of the Deal"" has sold 19,000 copies https://t.co/PSyHg4xp9o","2016-03-05 04:24:37",FALSE,-74.00001602,40.71669795
"8","So did the @CPAC change my opinion of Donald? Why would it, @realDonaldTrump is still being slammed while he is not there. Vote Trump","2016-03-05 04:15:56",FALSE,-86.078912,32.3433239
"9","Hindus for Trump has been blasted for posting a photo of The Donald sitting in the Lotus position https://t.co/Pl173UrSsX","2016-03-05 03:51:05",FALSE,-74.00001602,40.71669795
"10","RT @pbump: January Fox debate without Trump: 12.5 million viewers.

Last night's, with Trump: 16.9. https://t.co/dFSPs1790F","2016-03-05 03:34:58",TRUE,NA,NA
"11","Donald Drumpf reverses stance on torture and targeting civilians: https://t.co/hC5mmiuKcM »ABCPolitics #GOPenis https://t.co/JyLerx2aEk","2016-03-05 03:22:33",FALSE,-79.43771,44.62097
"12","The Donald Trump roast begins again.","2016-03-05 03:15:59",FALSE,-86.0789635,32.3433094
"13","@TheBuckeyeInst 
M.Joseph Hurley Construction
#Republican ...
We The People Development Strategy ...
#America 2016
 Donald J Trump President","2016-03-05 03:04:01",FALSE,-79.4344036,43.6382898
"14","RT @pbump: January Fox debate without Trump: 12.5 million viewers.

Last night's, with Trump: 16.9. https://t.co/dFSPs1790F","2016-03-05 03:01:09",TRUE,NA,NA
"15","In Eastie, Donald Trump support stokes immigrants’ fears that a hard life could get harder https://t.co/g55cLwOCnb","2016-03-05 02:54:08",FALSE,-71.0552516,42.3561185
"16","RT @pbump: January Fox debate without Trump: 12.5 million viewers.

Last night's, with Trump: 16.9. https://t.co/dFSPs1790F","2016-03-05 02:50:29",TRUE,NA,NA
"17","RT @pbump: January Fox debate without Trump: 12.5 million viewers.

Last night's, with Trump: 16.9. https://t.co/dFSPs1790F","2016-03-05 02:45:14",TRUE,NA,NA
"18","January Fox debate without Trump: 12.5 million viewers.

Last night's, with Trump: 16.9. https://t.co/KruUj0Oter","2016-03-05 02:40:21",FALSE,-73.971836,40.798598
"19","January Fox debate without Trump: 12.5 million viewers.

Last night's, with Trump: 16.9. https://t.co/dFSPs1790F","2016-03-05 02:40:16",FALSE,-73.971836,40.798598
"20","Realtor Valentina Aveda vote for Donald J.Trump #REALDONALDTRUMP #DONALDJTRUMP #12018384838… https://t.co/rrlG8dUA0E","2016-03-05 01:32:52",FALSE,-80.0394,26.7151
"21","RT @kickstart_life: Thing1: ""Donald Trump is an 
A-S-S face.""
So, that's a 12 year old. 12. year. old.
America.","2016-03-05 01:05:33",TRUE,NA,NA
"22","Donald Trump I'am proud that you came in first, last night. With the debate with Rubio and Cruz. https://t.co/myTJAs4zJb","2016-03-05 00:55:03",FALSE,-82.7921655,34.7015396
"23","Actually, virtually no one else is following the law. @nytimes - ""Even President Donald J. Trump would follow the law.""","2016-03-05 00:46:56",FALSE,-76.93365423,38.96076932
"24","Will everybody else? “@nytimes: Donald Trump reverses position on torture and killing terrorists’ families
https://t.co/9xTB2H4UBf”","2016-03-05 00:44:53",FALSE,-76.93362649,38.96072607
"25","Donald Trump Is in Eighth Place... https://t.co/OKsXzBanhS","2016-03-05 00:20:04",FALSE,-80.069251,26.350777
"26","1013ed

“It is better to live one day as a lion than 100 years as a sheep.”
– Donald Trump… https://t.co/aIZwnkkyN2","2016-03-05 00:18:43",FALSE,-84.3397899,33.76708
"27","@EsotericCD 
M.Joseph Hurley Construction
#Support For Donald...
#RubioCruz Gang Up On The Trump...
#Push The Strategy...
#Infrastructure!","2016-03-05 00:17:25",FALSE,-79.4346043,43.6381877
"28","AIDS N : Donald Trump Gets HIV In New Sacha Baron Cohen Movie https://t.co/fRd5utZpir","2016-03-05 00:05:37",FALSE,-80.2732666,25.77508716
"29","AIDS N : Donald Trump Gets HIV In New Sacha Baron Cohen Movie: Donald Trump gets HIV in Sacha Baron Cohen's new… https://t.co/7QZAGtHOW2","2016-03-05 00:05:14",FALSE,-80.2732666,25.77508716
"30","AIDS N : Donald Trump Gets HIV In New Sacha Baron Cohen Movie https://t.co/gW7pQt08Fm","2016-03-05 00:05:13",FALSE,-80.2732666,25.77508716
"31","@NotDon_Rickles 
Hey Don, you know what I like about Donald trump?.........NOTHING!!","2016-03-05 00:02:00",FALSE,-75.2315634,39.94592
"32","RT @kickstart_life: Thing1: ""Donald Trump is an 
A-S-S face.""
So, that's a 12 year old. 12. year. old.
America.","2016-03-04 23:59:06",TRUE,NA,NA
"33","When you're chilling in a bush and start thinking about Donald trump #dailysame @ Springfield,… https://t.co/N781lnYQe4","2016-03-04 23:55:31",FALSE,-93.2862,37.1951
"34","Donald Trump to host Chicago rally at UIC next Friday ahead of Illinois primary https://t.co/mlALTKmXBy","2016-03-04 23:47:12",FALSE,-87.62626724,41.88804564
"35","Thing1: ""Donald Trump is an 
A-S-S face.""
So, that's a 12 year old. 12. year. old.
America.","2016-03-04 23:33:41",FALSE,-113.44224393,53.5633873
"36","""@Newsmax_Media: Glenn Beck: If I Were Onstage I Would Have Stabbed Trump https://t.co/pfAYCHjzZ6"" DAMM GLEN!!!","2016-03-04 23:12:57",FALSE,-73.8694714,40.9623133
"37","VOSD Podcast: If raising taxes hasn’t improved school facility conditions, should we keep approving more tax hikes? https://t.co/HKlJtU3Ba9","2016-03-04 22:57:05",FALSE,-117.16627197,32.7143122
"38","Donald Trump meet GenX.fm Job well done Kenny! @ Hollywood Walk of Fame https://t.co/0hdBppAlFZ","2016-03-04 22:35:15",FALSE,-118.33925043,34.10170028
"39","Bobby Jindal argues that @POTUS created @realDonaldTrump https://t.co/R3CyOc6XCq","2016-03-04 22:33:54",FALSE,-116.503183,33.83323
"40","- Donald Trump to be in Concord Monday. Event starts at noon. cltnews @WBTVCamMan https://t.co/FnbesqYClU","2016-03-04 22:32:04",FALSE,-80.84079342,35.22483977
"41","Sera del moco! RT ""@la_patilla: Donald Trump defiende el tamaño de su pene en pleno debate  (VIDEO) https://t.co/uejurvgknn""","2016-03-04 21:53:06",FALSE,-71.610705,10.673228
"42","""#DonaldTrump?  DONALD FUCKING #TRUMP?!?!?!!?!!??!?
That guy is worse than a vulture.  Believe… https://t.co/JjdqZG7Jjm","2016-03-04 21:49:51",FALSE,-73.97351821,40.78067283
"43","AIDS N : Sacha Baron Cohen Depicts Donald Trump With HIV In New Film 'The Brothers Grimsby': Originally it was… https://t.co/tGZLkIkrTE","2016-03-04 21:47:44",FALSE,-80.2732666,25.77508716
"44","AIDS N : Donald Trump is 'infected with HIV' in new Hollywood film: Sacha Baron Cohen's upcoming film has been… https://t.co/J2TBXZiUzj","2016-03-04 21:47:44",FALSE,-80.2732666,25.77508716
"45","AIDS N : Sacha Baron Cohen Depicts Donald Trump With HIV In New Film 'The Brothers Grimsby' https://t.co/GmAjjUdVKs","2016-03-04 21:47:44",FALSE,-80.2732666,25.77508716
"46","AIDS N : Sacha Baron Cohen Depicts Donald Trump With HIV In New Film 'The Brothers Grimsby' https://t.co/UlLSVm0vmG","2016-03-04 21:47:43",FALSE,-80.2732666,25.77508716
"47","AIDS N : Donald Trump is 'infected with HIV' in new Hollywood film https://t.co/efU80h6HxX","2016-03-04 21:47:43",FALSE,-80.2732666,25.77508716
"48","AIDS N : Donald Trump is 'infected with HIV' in new Hollywood film https://t.co/V63oyaXysy","2016-03-04 21:47:43",FALSE,-80.2732666,25.77508716
"49","JUST IN: Donald J. Trump will be in Concord on Monday at noon at Cabarrus Arena and Events Center. @wsoctv https://t.co/FnbesqYClU","2016-03-04 21:44:08",FALSE,-80.84079342,35.22483977
"50","RT @pbump: How you as a real estate tycoon might have not paid any federal income taxes for a few years. https://t.co/GwK74jbE8F","2016-03-04 21:39:25",TRUE,NA,NA
"51","How real estate tycoons like Donald Trump can avoid paying federal taxes https://t.co/uoldWgExoC #Granada Hills","2016-03-04 21:26:08",FALSE,-118.45899658,34.28665522
"52","How real estate tycoons like Donald Trump can avoid paying federal taxes https://t.co/OHlbAlAfzl","2016-03-04 21:26:06",FALSE,-118.45899658,34.28665522
"53","TRUMP JUMP: The Donald flip-flops on H-1B visas for skilled workers — three times in one day https://t.co/UfCfWMoIId","2016-03-04 21:08:09",FALSE,-74.00001602,40.71669795
"54","https://t.co/McsUOyNlIJ. This must not be America's future!","2016-03-04 21:06:08",FALSE,-82.7736458,27.8395649
"55","I do not get how Mitt Romney is so motivated to expose who Donald Trump is when he sure did not want to expose who Obama was","2016-03-04 21:03:21",FALSE,-81.21473336,28.59617056
"56","#Trump
Trump all the way.  We love the Donald
       Jan Bianucci","2016-03-04 20:50:10",FALSE,-83.9369533,36.012578
"57","#greta 
No....mitt romney will not affect Trump
Donald Trump all the way","2016-03-04 20:48:33",FALSE,-83.9371198,36.0125779
"58","RT @jsipe2005: Cruz Presidential &amp; Trump Fip-Flopper https://t.co/nwjJDf5VWw","2016-03-04 20:47:00",TRUE,NA,NA
"59","RT @jsipe2005: Cruz Presidential &amp; Trump Fip-Flopper https://t.co/nwjJDf5VWw","2016-03-04 20:44:47",TRUE,NA,NA
"60","Legendary Bros Bill O'Reilly and Donald Trump Got in a Pretty Bad Bro Fight Last Night - Bro. https://t.co/qBE8KQHago via @Esquire (Funny!!)","2016-03-04 20:38:48",FALSE,-86.844857,36.1198471
"61","I like that Donald Trump is no schmoozer like the career politicians.","2016-03-04 20:38:00",FALSE,-82.95205082,42.52990573
"62","RT @pbump: How you as a real estate tycoon might have not paid any federal income taxes for a few years. https://t.co/GwK74jbE8F","2016-03-04 20:20:16",TRUE,NA,NA
"63","How you as a real estate tycoon might have not paid any federal income taxes for a few years. https://t.co/doJYw5scpW","2016-03-04 20:19:23",FALSE,-73.971836,40.798598
"64","How you as a real estate tycoon might have not paid any federal income taxes for a few years. https://t.co/GwK74jbE8F","2016-03-04 20:19:20",FALSE,-73.971836,40.798598
"65","The Party Boy Billionaire Writing Donald Trump’s Vet Checks https://t.co/CRStB9vYYX via @thedailybeast","2016-03-04 20:17:52",FALSE,-86.8448961,36.1198058
"66","Donald Trump’s terrifying and distinctly American authoritarianism. https://t.co/549zqwbquh","2016-03-04 19:59:58",FALSE,-122.293,47.680646
