"","text","created","isRetweet","longitude","latitude"
"1","The Bernie Sanders rally was better than I expected Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç @ Grand Valley State University https://t.co/g9qvFdt3o9","2016-03-05 04:01:18",FALSE,-85.8888702,42.961235
"2","RT @ChrisHeuertz: Raised right here in Omaha, #BlackLivesMatter activist @SymoneDSanders is Bernie Sanders‚Ä¶ https://t.co/pOm6rPRbtc","2016-03-05 03:06:24",TRUE,NA,NA
"3","RT @ChrisHeuertz: Raised right here in Omaha, #BlackLivesMatter activist @SymoneDSanders is Bernie Sanders‚Ä¶ https://t.co/pOm6rPRbtc","2016-03-05 02:23:17",TRUE,NA,NA
"4","RT @ChrisHeuertz: Raised right here in Omaha, #BlackLivesMatter activist @SymoneDSanders is Bernie Sanders‚Ä¶ https://t.co/pOm6rPRbtc","2016-03-05 02:13:52",TRUE,NA,NA
"5",".@HillaryClinton Joins @BernieSanders For @FoxNews Town Hall With Bret Baier In Detroit https://t.co/pH1voyj4uJ","2016-03-05 02:00:03",FALSE,-118.495482,34.014546
"6","RT @ChrisHeuertz: Raised right here in Omaha, #BlackLivesMatter activist @SymoneDSanders is Bernie Sanders‚Ä¶ https://t.co/pOm6rPRbtc","2016-03-05 01:29:52",TRUE,NA,NA
"7","RT @ChrisHeuertz: Raised right here in Omaha, #BlackLivesMatter activist @SymoneDSanders is Bernie Sanders‚Ä¶ https://t.co/pOm6rPRbtc","2016-03-05 01:27:28",TRUE,NA,NA
"8","Hillary Clinton Just Retweeted Bernie Sanders, And Everyone Needs To See It (TWEET) https://t.co/rOOQMBwMAK","2016-03-05 01:17:22",FALSE,-77.0062908,38.8802533
"9","Bernie Sanders visits SIU-Edwardsville https://t.co/f7xegVZWD9","2016-03-05 00:40:07",FALSE,-87.62626724,41.88804564
"10","Hard to hear/see in this, but covering Bernie Sanders on‚Ä¶ https://t.co/9OjV4qjYeQ","2016-03-05 00:34:11",FALSE,-71.0821762,42.3815498
"11","RT @duetcat: ‚Äú@theonlyadult: For a saint, Bernie Sanders runs such an ugly campaign.‚Äù Beginning to look a lot like TRUMPLINGS! Can't watch ‚Ä¶","2016-03-05 00:27:25",TRUE,NA,NA
"12","RT @thepeoplesview: The Phony Revolutionary: Bernie Sanders' Repeated Sellouts for Political Expediency  https://t.co/aLHRTxMIbb","2016-03-04 22:18:10",TRUE,NA,NA
"13","So glad I got the opportunity to listen to Bernie Sanders today! #Bernie2016 @ Traverse City,‚Ä¶ https://t.co/xmhCUiEXr5","2016-03-04 21:52:45",FALSE,-85.6123,44.7601
"14","RT @hriho: #seanpenn at #rsac ""Bernie #Sanders is an exceptional man, but I'm goin' to vote for Hillary‚Ä¶ https://t.co/Fzg3purgck","2016-03-04 21:41:54",TRUE,NA,NA
"15","#seanpenn at #rsac ""Bernie #Sanders is an exceptional man, but I'm goin' to vote for Hillary‚Ä¶ https://t.co/Fzg3purgck","2016-03-04 21:40:38",FALSE,-122.401557,37.784173
"16","Porn site conducts survey; finds its users support Bernie Sanders,... https://t.co/Rqf2C6Yt5W","2016-03-04 21:17:27",FALSE,-97.745209,30.268735
"17","Susan Sarandon says celebrities who support Bernie Sanders are afraid to admit it https://t.co/EiAhOSPEEN","2016-03-04 21:15:42",FALSE,-118.24533538,34.05161048
"18","Raised right here in Omaha, #BlackLivesMatter activist @SymoneDSanders is Bernie Sanders‚Ä¶ https://t.co/pOm6rPRbtc","2016-03-04 20:59:09",FALSE,-95.97910717,41.28766393
"19","RT @thepeoplesview: The Phony Revolutionary: Bernie Sanders' Repeated Sellouts for Political Expediency  https://t.co/aLHRTxMIbb","2016-03-04 20:47:36",TRUE,NA,NA
"20","I just voted in the #Gainesville election/presidential primary. I recommend:

-Bernie Sanders‚Ä¶ https://t.co/znxngf6MFp","2016-03-04 20:02:11",FALSE,-82.32352853,29.65615289
"21","RT @joshstiles4: Just voted for Bernie Sanders in Florida's Democratic Primary.
PSA: Early voting starts today in‚Ä¶ https://t.co/YTxIggBqBv","2016-03-04 19:22:32",TRUE,NA,NA
"22","RT @thepeoplesview: The Phony Revolutionary: Bernie Sanders' Repeated Sellouts for Political Expediency  https://t.co/aLHRTxMIbb","2016-03-04 19:11:48",TRUE,NA,NA
"23","RT @thepeoplesview: The Phony Revolutionary: Bernie Sanders' Repeated Sellouts for Political Expediency  https://t.co/aLHRTxMIbb","2016-03-04 19:08:09",TRUE,NA,NA
"24","RT @thepeoplesview: The Phony Revolutionary: Bernie Sanders' Repeated Sellouts for Political Expediency  https://t.co/aLHRTxMIbb","2016-03-04 19:06:50",TRUE,NA,NA
"25","RT @thepeoplesview: The Phony Revolutionary: Bernie Sanders' Repeated Sellouts for Political Expediency  https://t.co/aLHRTxMIbb","2016-03-04 19:06:21",TRUE,NA,NA
"26","RT @thepeoplesview: The Phony Revolutionary: Bernie Sanders' Repeated Sellouts for Political Expediency  https://t.co/aLHRTxMIbb","2016-03-04 19:03:11",TRUE,NA,NA
"27","RT @thepeoplesview: The Phony Revolutionary: Bernie Sanders' Repeated Sellouts for Political Expediency  https://t.co/aLHRTxMIbb","2016-03-04 19:02:23",TRUE,NA,NA
